Zip_Code,County,,
15959,Somerset,,
15960,Cambria,,
15961,Cambria,,
15962,Cambria,,
15963,Somerset,,
16001,Butler,,
16002,Butler,,
16003,Butler,,
16016,Butler,,
16017,Butler,,
16018,Butler,,
16020,Butler,,
16021,Butler,,
16022,Butler,,
16023,Butler,,
16024,Butler,,
16025,Butler,,
16027,Butler,,
16028,Clarion,,
16029,Butler,,
16030,Butler,,
16033,Butler,,
16034,Butler,,
16035,Butler,,
16036,Clarion,,
16037,Butler,,
16038,Butler,,
16039,Butler,,
16040,Butler,,
16041,Butler,,
16045,Butler,,
16046,Butler,,
16048,Butler,,
16049,Armstrong,,
16050,Butler,,
16051,Butler,,
16052,Butler,,
16053,Butler,,
16054,Clarion,,
16055,Butler,,
16056,Butler,,
16057,Butler,,
16058,Clarion,,
16059,Butler,,
16061,Butler,,
16063,Butler,,
16066,Butler,,
16101,Lawrence,,
16102,Lawrence,,
16103,Lawrence,,
16105,Lawrence,,
16107,Lawrence,,
16108,Lawrence,,
16110,Crawford,,
16111,Crawford,,
16112,Lawrence,,
16113,Mercer,,
16114,Mercer,,
16115,Beaver,,
16116,Lawrence,,
16117,Lawrence,,
16120,Lawrence,,
16121,Mercer,,
16123,Beaver,,
16124,Mercer,,
16125,Mercer,,
16127,Mercer,,
16130,Mercer,,
16131,Crawford,,
16132,Lawrence,,
16133,Mercer,,
16134,Mercer,,
16136,Beaver,,
16137,Mercer,,
16140,Lawrence,,
16141,Beaver,,
16142,Lawrence,,
16143,Lawrence,,
16145,Mercer,,
16146,Mercer,,
16148,Mercer,,
16150,Mercer,,
16151,Mercer,,
16153,Mercer,,
16154,Mercer,,
16155,Lawrence,,
16156,Lawrence,,
16157,Lawrence,,
16159,Mercer,,
16160,Lawrence,,
16161,Mercer,,
16172,Lawrence,,
16201,Armstrong,,
16210,Armstrong,,
16211,Indiana,,
16212,Armstrong,,
16213,Clarion,,
16214,Clarion,,
16215,Armstrong,,
16217,Forest,,
16218,Armstrong,,
16220,Clarion,,
16221,Clarion,,
16222,Armstrong,,
16223,Armstrong,,
16224,Clarion,,
16225,Clarion,,
16226,Armstrong,,
16228,Armstrong,,
16229,Armstrong,,
16230,Clarion,,
16232,Clarion,,
16233,Clarion,,
16234,Clarion,,
16235,Clarion,,
16236,Armstrong,,
